Order_ID,Amount,Profit,Quantity,Category,Sub-Category,Payment_Mode,Order_Date,State,City,Year_Month,Customer_Name,Customer_ID,Product_ID,Location_ID,Date_ID,Year-Month,Year,Month,Quarter
OID-10001,9726,1275,5,Electronics,Electronic Games,UPI,2023-06-27,Florida,Miami,2023-06,David Padilla,CID-10001,PID-10001,LID-10001,DID-10001,2023-06,2023,6,2
OID-10002,9726,1275,5,Electronics,Electronic Games,UPI,2024-12-27,Illinois,Chicago,2024-12,Connor Morgan,CID-10002,PID-10002,LID-10002,DID-10002,2024-12,2024,12,4
OID-10003,9726,1275,5,Electronics,Electronic Games,UPI,2021-07-25,New York,Buffalo,2021-07,Robert Stone,CID-10003,PID-10003,LID-10003,DID-10003,2021-07,2021,7,3
OID-10004,4975,1330,14,Electronics,Printers,UPI,2023-06-27,Florida,Miami,2023-06,David Padilla,CID-10004,PID-10004,LID-10004,DID-10004,2023-06,2023,6,2
OID-10005,4975,1330,14,Electronics,Printers,UPI,2024-12-27,Illinois,Chicago,2024-12,Connor Morgan,CID-10005,PID-10005,LID-10005,DID-10005,2024-12,2024,12,4
OID-10006,4975,1330,14,Electronics,Printers,UPI,2021-07-25,New York,Buffalo,2021-07,Robert Stone,CID-10006,PID-10006,LID-10006,DID-10006,2021-07,2021,7,3
OID-10007,1525,185,12,Office Supplies,Pens,Debit Card,2024-05-11,Florida,Orlando,2024-05,John Fields,CID-10007,PID-10007,LID-10007,DID-10007,2024-05,2024,5,2
OID-10008,1525,185,12,Office Supplies,Pens,Debit Card,2021-10-09,Florida,Miami,2021-10,Clayton Smith,CID-10008,PID-10008,LID-10008,DID-10008,2021-10,2021,10,4
OID-10009,883,117,10,Electronics,Laptops,EMI,2022-11-18,California,Los Angeles,2022-11,Richard Kelley,CID-10009,PID-10009,LID-10009,DID-10009,2022-11,2022,11,4
OID-10010,8127,3551,16,Furniture,Tables,Credit Card,2022-11-18,California,Los Angeles,2022-11,Richard Kelley,CID-10010,PID-10010,LID-10010,DID-10010,2022-11,2022,11,4
OID-10011,2516,734,19,Furniture,Chairs,UPI,2023-11-12,New York,New York City,2023-11,Jacqueline Hubbard,CID-10011,PID-10011,LID-10011,DID-10011,2023-11,2023,11,4
OID-10012,2975,462,14,Office Supplies,Pens,Credit Card,2020-03-23,New York,New York City,2020-03,Jessica Anderson,CID-10012,PID-10012,LID-10012,DID-10012,2020-03,2020,3,1
OID-10013,6851,2812,1,Office Supplies,Markers,Debit Card,2020-05-04,Florida,Orlando,2020-05,Mary Taylor,CID-10013,PID-10013,LID-10013,DID-10013,2020-05,2020,5,2
OID-10014,7626,1046,15,Furniture,Sofas,Credit Card,2020-05-04,Florida,Orlando,2020-05,Mary Taylor,CID-10014,PID-10014,LID-10014,DID-10014,2020-05,2020,5,2
OID-10015,1023,78,9,Furniture,Tables,UPI,2020-05-04,Florida,Orlando,2020-05,Mary Taylor,CID-10015,PID-10015,LID-10015,DID-10015,2020-05,2020,5,2
OID-10016,7600,1098,10,Office Supplies,Pens,UPI,2023-11-09,Illinois,Springfield,2023-11,Walter Crawford,CID-10016,PID-10016,LID-10016,DID-10016,2023-11,2023,11,4
OID-10017,7501,262,18,Office Supplies,Paper,COD,2023-11-09,Illinois,Springfield,2023-11,Walter Crawford,CID-10017,PID-10017,LID-10017,DID-10017,2023-11,2023,11,4
OID-10018,725,133,6,Office Supplies,Paper,Credit Card,2024-12-30,New York,Rochester,2024-12,Lawrence Robinson,CID-10018,PID-10018,LID-10018,DID-10018,2024-12,2024,12,4
OID-10019,7201,2685,2,Furniture,Tables,Credit Card,2024-12-30,New York,Rochester,2024-12,Lawrence Robinson,CID-10019,PID-10019,LID-10019,DID-10019,2024-12,2024,12,4
OID-10020,1629,265,1,Office Supplies,Paper,UPI,2025-02-11,Texas,Dallas,2025-02,Douglas Pennington,CID-10020,PID-10020,LID-10020,DID-10020,2025-02,2025,2,1
OID-10021,1629,265,1,Office Supplies,Paper,UPI,2024-01-23,California,San Diego,2024-01,Ricardo Andrews,CID-10021,PID-10021,LID-10021,DID-10021,2024-01,2024,1,1
OID-10022,8971,2971,19,Office Supplies,Binders,Debit Card,2020-11-28,California,San Diego,2020-11,Paul Raymond,CID-10022,PID-10022,LID-10022,DID-10022,2020-11,2020,11,4
OID-10023,2939,894,20,Office Supplies,Binders,COD,2020-11-28,California,San Diego,2020-11,Paul Raymond,CID-10023,PID-10023,LID-10023,DID-10023,2020-11,2020,11,4
OID-10024,9380,414,11,Electronics,Phones,UPI,2024-05-30,New York,Rochester,2024-05,Karen Johnson,CID-10024,PID-10024,LID-10024,DID-10024,2024-05,2024,5,2
OID-10025,8558,1644,18,Office Supplies,Binders,Credit Card,2024-05-30,New York,Rochester,2024-05,Karen Johnson,CID-10025,PID-10025,LID-10025,DID-10025,2024-05,2024,5,2
OID-10026,4080,72,17,Office Supplies,Paper,COD,2024-05-30,New York,Rochester,2024-05,Karen Johnson,CID-10026,PID-10026,LID-10026,DID-10026,2024-05,2024,5,2
OID-10027,4206,1821,17,Electronics,Electronic Games,EMI,2022-01-23,Texas,Austin,2022-01,Juan Erickson,CID-10027,PID-10027,LID-10027,DID-10027,2022-01,2022,1,1
