Customer_ID,Customer_Name,City,State
1,David Padilla,Miami,Florida
2,Connor Morgan,Chicago,Illinois
3,Robert Stone,Buffalo,New York
4,David Padilla,Miami,Florida
5,Connor Morgan,Chicago,Illinois
6,Robert Stone,Buffalo,New York
7,John Fields,Orlando,Florida
8,Clayton Smith,Miami,Florida
9,Richard Kelley,Los Angeles,California
10,Richard Kelley,Los Angeles,California
11,Jacqueline Hubbard,New York City,New York
12,Jessica Anderson,New York City,New York
13,Mary Taylor,Orlando,Florida
14,Mary Taylor,Orlando,Florida
15,Mary Taylor,Orlando,Florida
16,Walter Crawford,Springfield,Illinois
17,Walter Crawford,Springfield,Illinois
18,Lawrence Robinson,Rochester,New York
19,Lawrence Robinson,Rochester,New York
20,Douglas Pennington,Dallas,Texas
21,Ricardo Andrews,San Diego,California
22,Paul Raymond,San Diego,California
23,Paul Raymond,San Diego,California
24,Karen Johnson,Rochester,New York
25,Karen Johnson,Rochester,New York
26,Karen Johnson,Rochester,New York
27,Juan Erickson,Austin,Texas
28,Alexander Reed,New York City,New York
29,Jacqueline Harris,San Francisco,California
30,Tyler Park,San Francisco,California
31,Richard Wolfe,Columbus,Ohio
32,Sierra Rios,Orlando,Florida
33,Sierra Rios,Orlando,Florida
34,Jessica Richardson,San Diego,California
35,Kimberly Warren,Cincinnati,Ohio
36,Jessica Richardson,San Diego,California
37,Kimberly Warren,Cincinnati,Ohio
38,Casey Garcia,Orlando,Florida
39,Casey Garcia,Orlando,Florida
40,Denise Hampton,San Francisco,California
41,Denise Hampton,San Francisco,California
42,Denise Hampton,San Francisco,California
43,Justin Rodriguez,Cleveland,Ohio
44,Ms. Emily Baxter,Rochester,New York
45,Austin White,Los Angeles,California
46,Justin Rodriguez,Cleveland,Ohio
47,Ms. Emily Baxter,Rochester,New York
48,Austin White,Los Angeles,California
49,Morgan Montes,San Diego,California
50,Christine Mosley,Cincinnati,Ohio
51,Ashley Rodriguez,Austin,Texas
52,Elizabeth King,Dallas,Texas
53,Morgan Montes,San Diego,California
54,Christine Mosley,Cincinnati,Ohio
55,Ashley Rodriguez,Austin,Texas
56,Elizabeth King,Dallas,Texas
57,Connie Holmes,Cincinnati,Ohio
58,Melissa Peck,Miami,Florida
59,David Smith,Orlando,Florida
60,Jacqueline Harris,Houston,Texas
61,David Smith,Orlando,Florida
62,Jacqueline Harris,Houston,Texas
63,David Smith,Orlando,Florida
64,Jacqueline Harris,Houston,Texas
65,Heather Jenkins,Buffalo,New York
66,Heather Jenkins,Buffalo,New York
67,Heather Jenkins,Buffalo,New York
68,Kelsey Castaneda,Cleveland,Ohio
69,Katherine Harris,Los Angeles,California
70,Kelsey Castaneda,Cleveland,Ohio
71,Katherine Harris,Los Angeles,California
72,Kelsey Castaneda,Cleveland,Ohio
73,Katherine Harris,Los Angeles,California
74,Kelsey Castaneda,Cleveland,Ohio
75,Katherine Harris,Los Angeles,California
76,Paul Rogers,Miami,Florida
77,Paul Rogers,Miami,Florida
78,Jon Banks,Tampa,Florida
79,Michelle Williams,Buffalo,New York
80,Andrew Allen,San Diego,California
81,Andrew Allen,San Diego,California
82,Andrew Allen,San Diego,California
83,Andrew Allen,San Diego,California
84,Vanessa Bauer,Buffalo,New York
85,Sean Smith,Cleveland,Ohio
86,Vanessa Bauer,Buffalo,New York
87,Sean Smith,Cleveland,Ohio
88,Shelly Sweeney,New York City,New York
89,Shelly Sweeney,New York City,New York
90,Emily Gill,Springfield,Illinois
91,Brian Patrick,Tampa,Florida
92,Dr. Sarah Booth,Cincinnati,Ohio
93,Douglas Mcfarland,Cleveland,Ohio
94,Kayla Ross,Peoria,Illinois
95,Marc Strickland,Orlando,Florida
96,Marc Strickland,Orlando,Florida
97,Charlene Brown,Miami,Florida
98,Charles Smith,Columbus,Ohio
99,Karen Townsend,Houston,Texas
100,Karen Townsend,Houston,Texas
101,Karen Townsend,Houston,Texas
102,Steven Cox,Los Angeles,California
103,Cynthia Rodriguez,Rochester,New York
104,Jessica Baker,Austin,Texas
105,Mark Blackburn,Dallas,Texas
106,Zachary Perez,Austin,Texas
107,Brian Green,San Diego,California
108,Zachary Perez,Austin,Texas
109,Brian Green,San Diego,California
110,Zachary Perez,Austin,Texas
111,Brian Green,San Diego,California
112,Becky Leach,Miami,Florida
113,Bryan Russell,Dallas,Texas
114,Tony Maddox,San Francisco,California
115,Bryan Russell,Dallas,Texas
116,Tony Maddox,San Francisco,California
117,Jason Randolph,San Francisco,California
118,Laura Andrews,New York City,New York
119,Mrs. Stephanie Hooper,San Francisco,California
120,Anthony Evans,Cleveland,Ohio
121,Patrick Williams,Rochester,New York
122,Susan Burke,Austin,Texas
123,Brent Hernandez,Rochester,New York
124,Patrick Williams,Rochester,New York
125,Susan Burke,Austin,Texas
126,Brent Hernandez,Rochester,New York
127,Sean Elliott,San Francisco,California
128,Wanda West,Cleveland,Ohio
129,Sean Elliott,San Francisco,California
130,Wanda West,Cleveland,Ohio
131,Renee Solomon,Tampa,Florida
132,Renee Solomon,Tampa,Florida
133,Renee Solomon,Tampa,Florida
134,Renee Solomon,Tampa,Florida
135,Daryl Miles,Orlando,Florida
136,Daryl Miles,Orlando,Florida
137,Michael Hunt,Dallas,Texas
138,Michael Hunt,Dallas,Texas
139,Michael Hunt,Dallas,Texas
140,Adam Clark,San Francisco,California
141,Amy Olsen,Springfield,Illinois
142,Stacey Miller,San Diego,California
143,Adam Clark,San Francisco,California
144,Amy Olsen,Springfield,Illinois
145,Stacey Miller,San Diego,California
146,Daniel Mosley,Los Angeles,California
147,Daniel Mosley,Los Angeles,California
148,Daniel Mosley,Los Angeles,California
149,Daniel Mosley,Los Angeles,California
150,Monica Gibson,Springfield,Illinois
151,Monica Gibson,Springfield,Illinois
152,Monica Gibson,Springfield,Illinois
153,Christopher Jordan,Columbus,Ohio
154,Christina Davis,Chicago,Illinois
155,Claudia Curry,Austin,Texas
156,Christina Davis,Chicago,Illinois
157,Claudia Curry,Austin,Texas
158,Christina Davis,Chicago,Illinois
159,Claudia Curry,Austin,Texas
160,Christina Davis,Chicago,Illinois
161,Claudia Curry,Austin,Texas
162,Brandon Anderson,Austin,Texas
163,George Foster,Dallas,Texas
164,Nicholas Anderson,Orlando,Florida
165,Emily Ellison,Los Angeles,California
166,George Foster,Dallas,Texas
167,Nicholas Anderson,Orlando,Florida
168,Emily Ellison,Los Angeles,California
169,George Foster,Dallas,Texas
170,Nicholas Anderson,Orlando,Florida
171,Emily Ellison,Los Angeles,California
172,Darren Perez,Austin,Texas
173,Michelle Hunter,Cincinnati,Ohio
174,Janet Guerrero,Rochester,New York
175,Jeffrey Kline,Miami,Florida
176,Ryan Bullock,Tampa,Florida
177,Jeffrey Kline,Miami,Florida
178,Ryan Bullock,Tampa,Florida
179,Tom Lawson,Buffalo,New York
180,Rebecca Smith,Dallas,Texas
181,Rebecca Smith,Dallas,Texas
182,William Welch,Orlando,Florida
183,William Welch,Orlando,Florida
184,Mr. Curtis Bailey,Tampa,Florida
185,Mr. Curtis Bailey,Tampa,Florida
186,Janet Carlson,Miami,Florida
187,Janet Carlson,Miami,Florida
188,Spencer Spears,Chicago,Illinois
189,Spencer Spears,Chicago,Illinois
190,Jeffrey Middleton,Buffalo,New York
191,Veronica Kelley,Orlando,Florida
192,Leslie Bean,Springfield,Illinois
193,Jeffrey Middleton,Buffalo,New York
194,Veronica Kelley,Orlando,Florida
195,Leslie Bean,Springfield,Illinois
196,Amy Wilson,Los Angeles,California
197,Amy Wilson,Los Angeles,California
198,Susan Ramirez,Cleveland,Ohio
199,Jacob Meyer,Peoria,Illinois
200,Jacob Meyer,Peoria,Illinois
201,Scott Lewis,Houston,Texas
202,Eric Griffith,Chicago,Illinois
203,Anna Ferguson,San Francisco,California
204,Scott Lewis,Houston,Texas
205,Eric Griffith,Chicago,Illinois
206,Anna Ferguson,San Francisco,California
207,Scott Lewis,Houston,Texas
208,Eric Griffith,Chicago,Illinois
209,Anna Ferguson,San Francisco,California
210,Scott Lewis,Houston,Texas
211,Eric Griffith,Chicago,Illinois
212,Anna Ferguson,San Francisco,California
213,David Figueroa,Miami,Florida
214,Theresa Medina,Springfield,Illinois
215,Theresa Medina,Springfield,Illinois
216,Mary Smith,Miami,Florida
217,Lance Cain,Tampa,Florida
218,Alexandra Moran,San Francisco,California
219,Sara Castro,Chicago,Illinois
220,Shawn Leach,Peoria,Illinois
221,Mark Boyle,Buffalo,New York
222,John Stevens,San Francisco,California
223,Lisa Graham,Peoria,Illinois
224,Nancy Jones,Cleveland,Ohio
225,Nancy Jones,Cleveland,Ohio
226,Nancy Jones,Cleveland,Ohio
227,Darryl Robbins,Peoria,Illinois
228,Kimberly Smith,Springfield,Illinois
229,Kimberly Smith,Springfield,Illinois
230,Maria Thomas,Miami,Florida
231,Nicholas Johnson,Dallas,Texas
232,Maria Thomas,Miami,Florida
233,Nicholas Johnson,Dallas,Texas
234,Dawn Howard,Houston,Texas
235,Dawn Howard,Houston,Texas
236,Dawn Howard,Houston,Texas
237,Jennifer Marshall,San Francisco,California
238,Frank Garcia,Buffalo,New York
239,Terri Madden,Rochester,New York
240,Terri Madden,Rochester,New York
241,James Gutierrez,Rochester,New York
242,James Gutierrez,Rochester,New York
243,Morgan Sellers,Los Angeles,California
244,Morgan Sellers,Los Angeles,California
245,Caitlin Thomas,New York City,New York
246,Kimberly Greene,Orlando,Florida
247,Tammy Anthony,Cleveland,Ohio
248,Jennifer Chase,Buffalo,New York
249,Cassandra Farley,Orlando,Florida
250,Tammy Anthony,Cleveland,Ohio
251,Jennifer Chase,Buffalo,New York
252,Cassandra Farley,Orlando,Florida
253,Justin Vasquez,Houston,Texas
254,Melissa Morales,Houston,Texas
255,Tyler Thompson,Dallas,Texas
256,Heidi Davis,Buffalo,New York
257,Heidi Davis,Buffalo,New York
258,Charles Lane,Dallas,Texas
259,Joyce Good MD,Miami,Florida
260,Maria Miller,Buffalo,New York
261,Terry Mcdaniel,Cincinnati,Ohio
262,Lisa Jacobs,Buffalo,New York
263,Jeff Duncan,Cincinnati,Ohio
264,Pamela Jones,New York City,New York
265,Renee Robinson,Columbus,Ohio
266,Renee Robinson,Columbus,Ohio
267,Jessica Kidd,Buffalo,New York
268,Nicholas Martin,Tampa,Florida
269,Jessica Kidd,Buffalo,New York
270,Nicholas Martin,Tampa,Florida
271,Jessica Kidd,Buffalo,New York
272,Nicholas Martin,Tampa,Florida
273,David Brown,Peoria,Illinois
274,Amber Moore,New York City,New York
275,Amber Moore,New York City,New York
276,James Williams,San Francisco,California
277,Karina Barr,Dallas,Texas
278,Karina Barr,Dallas,Texas
279,Meghan Rush,Cleveland,Ohio
280,Bianca Brown,Columbus,Ohio
281,Bianca Brown,Columbus,Ohio
282,Timothy Jensen,Orlando,Florida
283,Timothy Jensen,Orlando,Florida
284,Melinda Montoya,San Francisco,California
285,Melinda Montoya,San Francisco,California
286,Tammy Bell,Cincinnati,Ohio
287,Tammy Bell,Cincinnati,Ohio
288,Tammy Bell,Cincinnati,Ohio
289,Connie Richards,Cleveland,Ohio
290,Peter Ward,Rochester,New York
291,Connie Richards,Cleveland,Ohio
292,Peter Ward,Rochester,New York
293,Jonathan Alvarez,Columbus,Ohio
294,Becky Hodges,Houston,Texas
295,Jonathan Alvarez,Columbus,Ohio
296,Becky Hodges,Houston,Texas
297,Larry Hill,New York City,New York
298,Amber Moon,Cleveland,Ohio
299,Larry Hill,New York City,New York
300,Amber Moon,Cleveland,Ohio
301,Cynthia Wilcox,Chicago,Illinois
302,Cynthia Wilcox,Chicago,Illinois
303,Rebecca Wright,Rochester,New York
304,Sarah Flores,Springfield,Illinois
305,Rebecca Wright,Rochester,New York
306,Sarah Flores,Springfield,Illinois
307,Carol Norman,Rochester,New York
308,Stephanie Gardner,San Diego,California
309,Philip Baker,Peoria,Illinois
310,Randall Dennis,Orlando,Florida
311,Suzanne Cross,Austin,Texas
312,Suzanne Cross,Austin,Texas
313,Suzanne Cross,Austin,Texas
314,Jasmine Delgado,Chicago,Illinois
315,Kristen Harper,Buffalo,New York
316,Jasmine Delgado,Chicago,Illinois
317,Kristen Harper,Buffalo,New York
318,Kaitlyn Graham MD,New York City,New York
319,Dean Avila,Cincinnati,Ohio
320,Dean Avila,Cincinnati,Ohio
321,Dean Avila,Cincinnati,Ohio
322,Megan Mack,Austin,Texas
323,Megan Mack,Austin,Texas
324,Heather Johnson,Los Angeles,California
325,Tina Davies,Chicago,Illinois
326,Matthew Harris,Dallas,Texas
327,Matthew Harris,Dallas,Texas
328,Christopher Kirk,Miami,Florida
329,Eric Stevens,Miami,Florida
330,Christopher Kirk,Miami,Florida
331,Eric Stevens,Miami,Florida
332,James Dickerson,Houston,Texas
333,James Jones,Dallas,Texas
334,Hannah Hendricks,Cleveland,Ohio
335,Brett Mullins,Orlando,Florida
336,Ms. Kim Jordan,Chicago,Illinois
337,Marcus Santiago,Buffalo,New York
338,Marcus Santiago,Buffalo,New York
339,Marcus Santiago,Buffalo,New York
340,Jill Perez,San Diego,California
341,Jill Perez,San Diego,California
342,Jill Perez,San Diego,California
343,Courtney Williams,Columbus,Ohio
344,Jordan Hahn,Rochester,New York
345,William Cook,Cleveland,Ohio
346,Stephanie Hayes,Austin,Texas
347,Stephanie Hayes,Austin,Texas
348,Melissa Wise,Columbus,Ohio
349,Elizabeth Gonzalez,San Diego,California
350,Elizabeth Gonzalez,San Diego,California
351,Elizabeth Gonzalez,San Diego,California
352,Mr. Eric Lopez,Buffalo,New York
353,Benjamin Higgins,Rochester,New York
354,Benjamin Higgins,Rochester,New York
355,Brett Sutton,Austin,Texas
356,Anna Blackburn,Cincinnati,Ohio
357,Michelle Bailey,Dallas,Texas
358,Brett Sutton,Austin,Texas
359,Anna Blackburn,Cincinnati,Ohio
360,Michelle Bailey,Dallas,Texas
361,Brett Sutton,Austin,Texas
362,Anna Blackburn,Cincinnati,Ohio
363,Michelle Bailey,Dallas,Texas
364,Brett Sutton,Austin,Texas
365,Anna Blackburn,Cincinnati,Ohio
366,Michelle Bailey,Dallas,Texas
367,Sara Peterson,Chicago,Illinois
368,Katherine Williams,Orlando,Florida
369,Katherine Williams,Orlando,Florida
370,Katherine Williams,Orlando,Florida
371,Cory Evans,Orlando,Florida
372,Cory Evans,Orlando,Florida
373,Cory Evans,Orlando,Florida
374,Cory Evans,Orlando,Florida
375,Michael Rodriguez,Cincinnati,Ohio
376,Michael Rodriguez,Cincinnati,Ohio
377,John Munoz,Dallas,Texas
378,David Clark,Tampa,Florida
379,April Welch,Springfield,Illinois
380,April Welch,Springfield,Illinois
381,Alan Livingston,Peoria,Illinois
382,Angela Jackson,Dallas,Texas
383,Amy Williams,Austin,Texas
384,Laura Jordan,Dallas,Texas
385,Richard Maynard,Cincinnati,Ohio
386,Lawrence Oliver,Springfield,Illinois
387,Anthony Williams,Rochester,New York
388,Anthony Williams,Rochester,New York
389,Lynn Matthews,Dallas,Texas
390,Andrew Griffin,Chicago,Illinois
391,Andrew Griffin,Chicago,Illinois
392,Andrew Griffin,Chicago,Illinois
393,Megan Williams,Chicago,Illinois
394,Alison Martin,Buffalo,New York
395,Samuel Wallace,San Francisco,California
396,Manuel Stark,Springfield,Illinois
